target,source
Dan mereka memberiku absinthe.,And they gave me absinthe.
Bisa beritahu aku?,Would you please talk to me?
Seolah satu hari aku bangun dan aku hidup dengan orang asing dan...,"It's just like one day I looked up, And I was living with a stranger. And..."
Dia pergi untuk lakukan Politik di California dengan cyril.,She's going to do politics in California with cyril.
"Baiklah, panggilah semua orang.","Alright, let's go get everyone."
Terus kenapa kau di sini?,Then why are you here?
Sebentar lagi mereka tidak akan menjadi masalah.,They no longer matter.
"Ini... ini cerdas sekali, Anatoly.","This is... This is very smart, Anatoly."
Bagaimana bisa?,How can you?
"Aku tahu, mungkin kapan2 kau bisa datang dan makan malam bersama kami.",I know! Perhaps you can come and have supper with us sometime.
Bagaimana aku tahu itu milikmu ?,How do I know it's yours?
1...,1...
Mari kita pecah menjadi tiga komponen.,Let's break it down into its three component elements.
Aku belum pernah bertemu seorang wanita yang seperti dirimu.,I've never met a woman quite like you.
Bukan seperti situasi yang kau gambarkan padaku lewat radio.,Doesn't sound like the situation you described to me over the sound power.
"Sengatan melumpuhkan. Whoa, whoa, whoa. Tahan, Fishlegs.",What are you talking about?
Entahlah. Ada sesuatu... tapi...tak bisa pergi jauh darimu.,Theres something... but...can't go away from you.
Dia punya ide.,He's got an idea.
Dia tidak akan pernah masuk.,"He's wary of ""Mr. Mak"", so he won't come in."
"Boleh aku bertanya, Tn. Cliff Anderson...","Can I ask you a question, Mr. Cliff Anderson..."
"¶ dan kau, dan kau, dan kau ¶","¶ and you, and you, and you ¶"
Aku merasa begitu kesepian dan sedih,I've been feeling so lonely and sad
Dan sekarang target kita berada diluar sasaran tembak,And now the enemy is outside our firing angle.
Kau siap?,You ready?
"Apapun yang kau dengar, menjauhlah.","Whatever you hear, keep away."
Aku sedang berbicara dengan anak ini!,I'm talking to this boy!
- Bert. tikus itu?,- Bert.
Terima kasih Ripley.,"Thanks, Ripley."
Kau kembali ke Octavian.,You go back to Octavian.
"""Berjenggot, berbulu dan menggerak-gerakkan tangan,","""bearded, hairy and gesticulating,"""
Kau harus meneraktirku makan malam. Tentu saja!,After all the crap I've been through?
"Sekarang Anda orang paling bahagia, bukan?","Right now you're the happiest man, aren't you?"
Kau baik-baik saja?,You okay?
Batuan dasar.,Bedrock.
Tidak.,No.
Semuanya kurang dalam hal biasa.,Altogether lacking in common currency.
sialan Anda,Shit you
Tidak ada penghujatan.,No blasphemy.
"yang menarik adalah..setelah 3 bulan, mahasiswi itu menghilang,","interesting adalah..setelah 3 months, the student disappeared,"
Kami hanya bisa bertemu saat aku mengantar T kesekolah pagi hari.,Only time we get to see each other is when I walk T to school in the morning.
Kemungkinannya apa lagi ?,What else could it be?
"Nah, Holly, saya telah berbicara dengan Pak Gubernur panjang lebar dan kami datang untuk pemahaman.","Well, Holly, I've spoken with Mr. Governor at length and we've come to an understanding."
Jadi itu benar.,So it's true.
"Yay, sampai rumah.","Oh. Yay, home."
Kau harus berusaha bertahan.,Youve got to try to hold on.
Kukira begitu.,I suppose I do.
"Maaf, saya pasti melewatkan sesuatu.","I'm sorry, I must be missing something. I don't mean..."
aku menemukan lokasi batu dan Manta membawa tenaga untuk mendapatkannya.,I found the location of the stone and Manta brought the man power to get it.
Itu lucu.,That was hilarious.
"Aku Mayor Kreuger, komandan militer baru di Remagen.","I am Major Kreuger, new military commander at Remagen."
Apa?,What?
Saya sedikit tapi aku kuat.,I'm little but I'm strong.
Aku tak pernah menyukai orang tua itu.,Never really liked that old man.
Keluar dengan tangan dibelakang kepala!,Come out with your hands behind your head.
"Seperti ini, misalnya.","Like this one, for example."
Trixie?,Trixie?
"Atas nama Lucifer, biarkan kami tidur.","In the name of Lucifer, let us sleep."
"Hei, Dr. McPhee.","Hey, Dr. McPhee."
Satu orang meninggal.,One passed away.
Sama sepertimu.,Just like you.
Ini rasanya sejuk.,If feels nice.
Ini mungkin kemalangan sebagai superhero ... tetapi tetap.,"You may be a disgrace as a superhero, but you're a superhero nonetheless."
Ini foto korban tewas orang kulit putih kita.,This is a photograph of our dead white victim.
Tunggu aku.,We'll have dinner together.
"Baiklah, pelan.","All right, slowing it down."
Apa ini?,The hell?
Temukan dia!,Find him!
"Dengarkan aku, kau cacing kecil.","Listen to me, you little worm."
Kembali ke posisi.,Get in position.
Bergaul terlalu dekat dilarang.,Fraternizing is forbidden.
"Kau pikir aku takut, tapi tidak.","You think I'm scared right now, but I'm not."
"Tidak, maaf, kau pasti salah.","No, I'm sorry, you must be mistaken."
Bisa kau ceritakan padaku?,You tell me?
"Sejak kapan menghinamu itu dimungkinkan, Nyonya?","Since when has it been possible to insult you, Madame?"
Lihat kondisiku besok.,"Well, I'll see how my day shapes up."
Aku tak pernah menyentuh rokok.,I never touch cigarettes
"- Ya, Mr. Stiltskin.","- Yes, Mr. Stiltskin."
Kamu akan menemuinya lagi suatu hari nanti.,You'll see her again someday.
Aku juga.,"I love you, too."
♪ Aku comin 'untuk getcha ♪♪,♪ I'm comin' to getcha ♪♪
Jadi siapa yang kau pikir ikut andil dalam mencapai kesuksesanmu saat ini?,Who do you think you have to thank for all your success?
Tak ada yang bisa di tanam.,We couldn't grow anything.
- Baiklah!,- It's OK!
Sepertinya kita pakai tangga saja.,Looks like we're taking the stairs.
Seorang monster.,A monster.
Berpikir kau akan tetap di mobil?,I thought you were going to stay in the car.
Siapa interogatormu?,Who was your interrogator?
.. Untuk memberikan molekul H2O yang berbeda.,..to give a distinct molecule H2O.
"Itu jarang terjadi, tapi...","Doesn't happen often, but..."
Hentikan!,Stop it!
Kurasa kau ada gunanya.,I've thought of a better use for you.
- Halo.,Hello.
O'Laughlin! Grace dalam masalah.,"O'Llaughlin, Grace is in trouble."
Karena kamu sekolah di BU.,'Cause you go to BU.
Jangan marah dulu,"Let's not get ""ignant."""
"Dia pemeran penggantiku, George Fiske.","It's my stunt double, George Fiske."
"Aku tidak mencintainya jalan dia perlu dicintai Dan aku bahkan tidak melihat masa depan kita, tapi kemudian saya melihat anak kecil saya Duduk di hadapanku, dan Saya berpikir saya akan menderita penyiksaan Untuk bisa bersamanya untuk semua risalah hidupnya.","I don't love her the way she needs to be loved and I don't even see a future for us, but then I look at my little boy sitting across from me, and I think I'd suffer any torture to be with him for all the minutes of his life."
Tahun 2095?,2095.
Aku belum mati.,I'm not dead.
Itu luar biasa. / Apa kabar Philomena?,- That's fantastic. - How's Philomena?
"Tak ada yang bisa kau lakukan dengan hal itu, Jackson.","There's nothing you can do about it, Jackson."
Aku tidak tahu.,- I don't know.
"Dean, ini adalah bodoh.","Dean, this is stupid."
Benarkah?,Really?
Mau ini?,You want that piece?
"Hei, sebentar.","Hey, hold up, hold up."
Selamat datang di the Punisher task force.,Welcome to the Punisher task force.
Aku tak tahu dimana uangmu Tn. Belfort.,"I don't know where your money is, Mr. Belfort."
Mengapa ia mengemudi taksi?,Why is he driving a cab?
"Hei, saya menyukai tampilan baru ini.","Hey, I'm liking this new view."
"Baiklah, katakan. Bagaimana jika kita dokter?","Okay tell me, what lf l was a doctor?"
Dan hanya akan tetap di sana.,And that is where it's gonna stay.
?,?
- Barangkali itu hanya ilusi.,Perhaps it was just an illusion.
"Sama aku, gak usah takut.","With me, you won't be."
Dia bukan untuk Princeton.,He's just not Princeton material.
"Gates, pindahkan sandera ke kantor di sana.","Gates, move the hostages into that office up there."
Kenapa kau menyimpan sisanya?,Why do you keep the rest?
Apa katanya?,What do you say?
Sayang beats dalam seperti bodoh.,Pity it beats within such a fool.
- Kau baik-baik saja?,- Are you alright?
Yeah!,Yeah!
Aku ingin melihat pandangan seperti itu lagi ribuan kali.,I want to see that look again a thousand times over.
Ronny!,Ronny!
Isi disini.,Sign here.
"Yeah, aku siap menghadapi apa pun konsekuensinya yang dikarenakan itu.","Yeah, I'm ready to face whatever consequences come from it."
"Jika kau memutuskan keluar, maka suatu hari akan datang seseorang yang akan membunuh ayahmu, anakmu, atau saudaramu.","If you decide to quit, one day, someone will knock on your door to avenge a father, brother or uncle."
Oh !,Oh!
Coba... coba kau lihat ini.,Just... just take a look at this.
- Astaga?,Golly?
"Dengar, semuanya Aku menyesal aku melibatkan kalian dalam hal ini.",Listen' all of you I'm sorry I got you into this.
Kau mendapatkan TV layar datarku ?,You get my flat-screen TV?
Ulangi lagi?,Come again?
Ku mohon padamu.,I beg you.
-Dapatkan mobil!,- Get a car!
Yang benar saja.,Come on.
Seseorang di sewa untuk membunuhmu / Itu gila.,Someone's been hired to kill you. That's insane.
Berbicara di depan umum tentang Chandramukhi adalah kesalahan.,Talking in public about Chandramukhi was a mistake.
"Tidak, tidak, tidak.","No, no, no."
"pak, aku pikir itu sangat bijaksana.","Sir, I hardly think that's wise."
Aku memaksamu untuk berkata jujur.,I compel you to tell me the truth.
Agh!,Agh!
kok dia kelihatan lemah ya ?,"fontcolor="" # FFFF00""why helooksweakhuh?"
Pris.,Pris.
Saya juga tahu itu.,I do know it too.
Barang apa ini?,What is all this?
28 tahun?,28 years?
"Sampai ketemu, Charles.","See you, Charles."
"Ya tuhan, aku sungguh menyesal karena engkau tersinggung.","O my God, I'm heartily sorry for having offended thee."
"Kenapa, Diz?","What's that, Diz?"
Aku tidak mendapatkan bagian.,I didn't get the part.
"Sebagai catatan sejarah, Dia selamat.","For the historical record, he made it."
- Hey!,- Hey!
"Kita melarikan Albert White keluar dari Boston, seperti yang sudah kau dengar.","We ran Albert white out of Boston, like you heard."
Jangan gegabah dengarkan kisahnya dulu.,"Don't be impulsive, listen to her story first."
"Dan jangan khawatir, Yang terbesar akan datang.","And don't worry, the big one is coming."
Pisahkan personil Starfleet dan tempatkan mereka di kargo belakang.,Separate the Starfleet personnel and secure them in the aft cargo hold.
Apa hobimu?,"""What are your hobbies?"""
Kekanan.,To the right.
Aku menyetir!,I'll drive!
Namaku Yang Mulia Dorazombie.,My name Majesty Dorazombie.
Benarkah?,You did?
Dia menerima peluru yang diperuntukkan untukmu.,She took a bullet meant for you.
Cepat naik.,"Hop off, hop off."
Bajingan!,Asshole!
Aku tidak...,I'm not...
!,!
Mengelap pantatku?,Wipe my ass?
Akutidakakan...,I won't...
Aku akan senang melakukan hubungan s**s dengan mu...,"I would love to have sexual relations with you,"
"Whoa whoa whoa, tunggu ...","Whoa whoa whoa, wait..."
Aku memiliki rekanan dengan mafia Rusia.,I have a contact in the Russian mafia.
Mundur.,Step back.
"Ya, aku sedang mencobanya.","Yeah, I'm tryin' to be."
"Mereka bermula dari manusia, sebetulnya.","They start out human, for all intents and purposes."
Saudaramu menyukai rahasianya.,Your brother likes his secrets.
Baik.,Okay.
- Apa yang Anda menghargai itu di?,- What do you esteem it at?
"Kau lihat aku berhadapan dengan apa, Clint?","You see what I've been dealing with, Clint?"
Semua kekuatan itu dalam suatu wadah dangkal.,All that power in such a banal container.
- Apa seseorang mengambilnya?,- Did someone take it?
Selamat tinggal.,Good-bye.
Awas!,Look out!
/ Bagus.,- Good.
Jake ada di sini.,Jake's here.
"Kalau aku terbangun, berarti dia juga.","If I am awake, then so is she."
Ingin taruhan?,Want to bet on it?
Ayo!,Let's go!
Sebaiknya biarkan saja dan aku akan berenang telanjang.,"I 'll just leave you alone, maybe just head down the beach and go skinny-dipping."
"Demi kebaikan kerajaan, Anggota dewanmu memohon ... untuk mengesampingkan Sansa Stark.","For the good of the realm, your councilors beg you... to set Sansa Stark aside."
Saya tidak ingin ada lebih banyak masalah dari orang-orang yang Anda pilih.,I don't want any more problems from the people that you chose.
Memandangkan?,Considering?
Itu aku dengan pesawat pribadiku.,It was me with my own plane.
aku tidak sabar untuk mendengar nyanyian manis!,I can't wait to hear her sweet singing!
"- Selamat pagi, penyusup.","- Good morning, intruder."
/ Oke.,- Okay.
"Dan aku bertaruh, Cindy bisa lolos dari sini kapan pun dia mau.",And I'll bet Cindy could get out of here whenever she wanted to.
"Kau masih ceroboh, kekanak-kanakan dan sembrono, Tetapi cara mu menangani Dagur, Mungkin Kau punya apa yang diperlukan untuk jadi Dragon Rider, suatu hari nanti.","You're still irresponsible, immature and reckless, but the way you handled yourself with Dagur, maybe you do have what it takes to be a Dragon Rider... someday."
"Morgan, Aku ingin kau bayangkan sejenak Bahwa Buy More adalah sebuah negara.","Morgan, I want you to imagine for a moment that Buy More is a country."
"Mereka tembak Combo dijalanan dan sekarang, produk kita yang mereka jual.",They had Combo shot down in the street and now it's our product they're selling.
Berapa jari yang aku tunjukkan?,How many fingers am I holding up?
Hei.,Hey.
Yeah.,Yeah.
Katakan./ Tak ada.,Tell me. It's nothing.
Film apa?,-What movie?
"Oh, maaf.","Oh, sorry."
East Coast jauh lebih bagus..,East Coast was much cooler.
Pandeyji seeti bajave jee seeti,"""Pandeyji's whistling freely."""
Apa lagi kalau awak berdua tinggal sebumbung,What more when you start living under one roof?
Terawat dengan baik.,Well preserved.
Tersisa 2 hari lagi.,Two days left.
"Baiklah, para hadirin, mari kita dengar 2 finalis kita...","All right, ladies and gentlemen, let's hear it for our two finalists..."
Tidak sendirian.,Not alone.
Tidak.,No.
BOTH [Menyanyi]:,BOTH [SINGING]:
Tolong telpon Emily dan pastikan kau bisa menawarkan bantuanmu yang sangat berpengalaman.,Please call Emily and see if you can lend her your severely overqualified hand.
Dia datang.,- He's coming.
Itu menarik seperti kedengarannya. Ada sejumlah congressman yang menyerang balik memanfaatkan skandal terakhir ini untuk memberi lampu hijau program lainnya.,"As intriguing as that sounds, there are some members of congress making too much hay out of this latest scandal to ever green-light another program."
Terima kasih sudah memegang tanganku.,Thank you for holding my hands
Lebih buruk yang terjadi pada manusia.,It's worse on humans.
"Anda telah berhasil ke tanah yang dijanjikan, oke?","You have already made it to the promised land, okay?"
- Terima Kasih.,- Thank you.
Aaaaahhhhhh!,Aaaaahhhhhh!
"Silakan, Masuklah..","Please, come in."
"Kapten Steiger melapor, Jenderal.","Captain Steiger reporting, General."
ltu akan jadi peringatan.,It will be a warning for the next ones.
Itu dia?,Is that her?
"Tapi seperti, apa rencananya?","But like, what's the plan?"
Apa yang kau inginkan dariku?,What do you want from me?
It is beyond proprietatii saya.,It's outside of my domain.
--Kau dibunuh.,You were killed.
/ Ya.,- Yeah.
Tidak..!,No..!
"Bagaimana ""Menembak-nya""?",How to aim this thing?
Tidak!,No! No!
